日期,代號,名稱,收盤價,RSI,戰場預判,籌碼訊號,行動指令,1D_最高漲幅%,1D_最大跌幅%,1D_最終漲幅%,1D_觸及停損,5D_最高漲幅%,5D_最大跌幅%,5D_最終漲幅%,5D_觸及停損,10D_最高漲幅%,10D_最大跌幅%,10D_最終漲幅%,10D_觸及停損,20D_最高漲幅%,20D_最大跌幅%,20D_最終漲幅%,20D_觸及停損
2026-06-21,3037.TW,欣興,968.0,54.62,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,3.8223140495867765,3.8223140495867765,3.8223140495867765,False,,,,False,,,,False,,,,False
2026-06-21,3131.TWO,3131O,3520.0,61.78,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.8465909090909092,1.8465909090909092,1.8465909090909092,False,,,,False,,,,False,,,,False
2026-06-21,3227.TWO,3227O,225.0,54.66,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,2.2222222222222223,2.2222222222222223,2.2222222222222223,False,,,,False,,,,False,,,,False
2026-06-21,8081.TW,8081,319.0,70.36,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,7.053291536050156,7.053291536050156,7.053291536050156,False,,,,False,,,,False,,,,False
2026-06-21,3583.TW,3583,889.0,58.4,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,0.0,0.0,0.0,False,,,,False,,,,False,,,,False
2026-06-21,3481.TW,3481,64.4,71.87,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,2.484472049689432,2.484472049689432,2.484472049689432,False,,,,False,,,,False,,,,False
2026-06-21,2409.TW,2409,28.15,66.19,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,9.946716742236074,9.946716742236074,9.946716742236074,False,,,,False,,,,False,,,,False
2026-06-21,2207.TW,2207,482.0,59.75,🔥【旱地拔蔥】底部極端爆量，長紅突破季線！,➖ 中性/偏空,🐉【妖股起漲預警】資金強勢介入，無視基本面，強烈建議觀察試單！,-0.2074688796680498,-0.2074688796680498,-0.2074688796680498,False,,,,False,,,,False,,,,False
2026-06-21,2890.TW,2890,39.8,81.09,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.9169332921679123e-06,-1.9169332921679123e-06,-1.9169332921679123e-06,False,,,,False,,,,False,,,,False
2026-06-21,4904.TW,4904,108.5,66.47,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.4608294930875576,-0.4608294930875576,-0.4608294930875576,False,,,,False,,,,False,,,,False
2026-06-21,2455.TW,全新光電,416.0,56.01,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.5625,-1.5625,-1.5625,False,,,,False,,,,False,,,,False
2026-06-21,2887.TW,台新金,32.45,78.73,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.2326679905684312,-1.2326679905684312,-1.2326679905684312,False,,,,False,,,,False,,,,False
2026-06-21,6269.TW,台郡,79.6,65.0,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,9.924623115577898,9.924623115577898,9.924623115577898,False,,,,False,,,,False,,,,False
2026-06-21,2886.TW,兆豐金,45.5,79.32,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.6483516483516485,-1.6483516483516485,-1.6483516483516485,False,,,,False,,,,False,,,,False
2026-06-21,1802.TW,台玻,71.3,56.82,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,7.43337794406886,7.43337794406886,7.43337794406886,False,,,,False,,,,False,,,,False
2026-06-21,1795.TW,美時,193.0,42.34,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.7772020725388601,-0.7772020725388601,-0.7772020725388601,False,,,,False,,,,False,,,,False
2026-06-21,1609.TW,大亞,38.15,54.26,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.5242443959647325,-0.5242443959647325,-0.5242443959647325,False,,,,False,,,,False,,,,False
2026-06-21,1605.TW,華新,39.0,56.71,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,4.487179487179487,4.487179487179487,4.487179487179487,False,,,,False,,,,False,,,,False
2026-06-21,1536.TW,和大,48.7,42.98,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,5.954822328790741,5.954822328790741,5.954822328790741,False,,,,False,,,,False,,,,False
2026-06-21,1513.TW,中興電,176.5,61.68,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,2.5495750708215295,2.5495750708215295,2.5495750708215295,False,,,,False,,,,False,,,,False
2026-06-21,1476.TW,儒鴻,327.0,48.69,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-3.058103975535168,-3.058103975535168,-3.058103975535168,False,,,,False,,,,False,,,,False
2026-06-21,1326.TW,台化,54.2,61.51,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,3.6900383080063657,3.6900383080063657,3.6900383080063657,False,,,,False,,,,False,,,,False
2026-06-21,8150.TW,南茂,104.0,60.02,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,9.615384615384617,9.615384615384617,9.615384615384617,False,,,,False,,,,False,,,,False
2026-06-21,3019.TW,亞光,160.5,59.88,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.557632398753894,1.557632398753894,1.557632398753894,False,,,,False,,,,False,,,,False
2026-06-21,00878.TW,國泰高股息,33.67,72.47,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.336498164195913,1.336498164195913,1.336498164195913,False,,,,False,,,,False,,,,False
2026-06-21,009816.TW,台灣凱基50,15.68,64.53,庫存動態防禦,➖ 中性/偏空,🔥【獲利巡航】獲利奔跑中，防禦線上移至 14.87！,3.125000486568531,3.125000486568531,3.125000486568531,False,,,,False,,,,False,,,,False
2026-06-21,0050.TW,元大台灣50,107.3,64.79,庫存動態防禦,➖ 中性/偏空,🛡️【洗盤耐受區】嚴禁攤平加碼，死守底線 (102.43)！,3.588072251518089,3.588072251518089,3.588072251518089,False,,,,False,,,,False,,,,False
2026-06-21,2883.TW,凱基金,30.75,77.66,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.300811767578125,-1.300811767578125,-1.300811767578125,False,,,,False,,,,False,,,,False
2026-06-21,2302.TW,麗正,47.0,77.72,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.3829819699551196,1.3829819699551196,1.3829819699551196,False,,,,False,,,,False,,,,False
2026-06-21,2303.TW,聯電,145.5,64.94,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,9.965635738831615,9.965635738831615,9.965635738831615,False,,,,False,,,,False,,,,False
2026-06-21,00881.TW,台灣科技龍頭,55.4,62.06,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,3.5198528413738184,3.5198528413738184,3.5198528413738184,False,,,,False,,,,False,,,,False
2026-06-21,2324.TW,仁寶,37.75,55.1,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.6622516556291391,-0.6622516556291391,-0.6622516556291391,False,,,,False,,,,False,,,,False
2026-06-21,2317.TW,鴻海,268.5,52.55,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,0.0,0.0,0.0,False,,,,False,,,,False,,,,False
2026-06-21,2606.TW,裕民,61.5,41.72,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,0.8130081300813009,0.8130081300813009,0.8130081300813009,False,,,,False,,,,False,,,,False
2026-06-21,2454.TW,聯發科,4390.0,58.52,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.7084282460136675,1.7084282460136675,1.7084282460136675,False,,,,False,,,,False,,,,False
2026-06-21,2409.TW,友達,28.15,66.19,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,9.946716742236074,9.946716742236074,9.946716742236074,False,,,,False,,,,False,,,,False
2026-06-21,2408.TW,南亞科,459.5,70.22,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,9.902067464635474,9.902067464635474,9.902067464635474,False,,,,False,,,,False,,,,False
2026-06-21,2382.TW,廣達,376.0,58.13,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.0638297872340425,1.0638297872340425,1.0638297872340425,False,,,,False,,,,False,,,,False
2026-06-21,2379.TW,瑞昱,819.0,75.28,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,9.89010989010989,9.89010989010989,9.89010989010989,False,,,,False,,,,False,,,,False
2026-06-21,2371.TW,大同,28.3,42.73,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.5300366836386122,-0.5300366836386122,-0.5300366836386122,False,,,,False,,,,False,,,,False
2026-06-21,2330.TW,台積電,2410.0,62.59,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,4.149377593360995,4.149377593360995,4.149377593360995,False,,,,False,,,,False,,,,False
2026-06-21,2377.TW,微星,138.5,59.74,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.083032490974729,-1.083032490974729,-1.083032490974729,False,,,,False,,,,False,,,,False
2026-06-21,2344.TW,華邦電,218.5,75.14,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.6018306636155606,1.6018306636155606,1.6018306636155606,False,,,,False,,,,False,,,,False
2026-06-21,2352.TW,佳士達,30.85,57.37,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,1.9448971246011402,1.9448971246011402,1.9448971246011402,False,,,,False,,,,False,,,,False
2026-06-21,2637.TW,慧洋,77.4,59.01,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-0.38759887064458903,-0.38759887064458903,-0.38759887064458903,False,,,,False,,,,False,,,,False
2026-06-21,2353.TW,宏碁,34.4,52.43,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,-1.1627906976744147,-1.1627906976744147,-1.1627906976744147,False,,,,False,,,,False,,,,False
2026-06-21,2356.TW,英業達,67.7,55.17,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,0.14771499521094483,0.14771499521094483,0.14771499521094483,False,,,,False,,,,False,,,,False
2026-06-22,1609.TW,大亞,38.55,55.7,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,,,,False,,,,False,,,,False,,,,False
2026-06-22,1609.TW,大亞,38.65,56.04,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,,,,False,,,,False,,,,False,,,,False
2026-06-22,1609.TW,大亞,38.35,54.99,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,,,,False,,,,False,,,,False,,,,False
2026-06-22,1609.TW,大亞,38.75,56.39,無特殊徵兆,➖ 中性/偏空,✅ 趨勢追蹤中，尚未觸發佈局點,,,,False,,,,False,,,,False,,,,False
